,Name,date,user_friendly_date,Title
330,2009-07-26_Japa Talk_Impure chanting and pure chanting_HG RSP.mp3,2009-07-26,09 Jul 26,Impure chanting and pure chanting
331,2009-07-22_Japa Talk_Good and bad are concoted by impure mind_HG RSP.mp3,2009-07-22,09 Jul 22,Good and bad are concoted by impure mind
332,2009-07-21_Japa Talk_Advancement in Krishna consciousness depends on the attitude of the follower_HG RSP.mp3,2009-07-21,09 Jul 21,Advancement in Krishna consciousness depends on the attitude of the follower
333,2009-03-05_Japa Talk_forgetful of real nature _HG RSP.mp3,2009-03-05,09 Mar 05,forgetful of real nature 
334,2009-12-19_Japa Talk_Chanting holy name in worshipful and prayerful mood_HG RSP.mp3,2009-12-19,09 Dec 19,Chanting holy name in worshipful and prayerful mood
335,2009-12-09_Japa Talk_Engaging mind and intelligence into holy name_HG RSP.mp3,2009-12-09,09 Dec 09,Engaging mind and intelligence into holy name
336,2009-12-02_Japa Talk_Suffering due to forgetfulness of holyname_HG RSP.mp3,2009-12-02,09 Dec 02,Suffering due to forgetfulness of holyname
337,2009-12-01_Japa Talk_Perfection of lamentation_HG RSP.mp3,2009-12-01,09 Dec 01,Perfection of lamentation
338,2009-11-22_Japa Talk_Perfect surrender and Perfect obedience_HG RSP.mp3,2009-11-22,09 Nov 22,Perfect surrender and Perfect obedience
339,2009-09-17_Japa Talk_Ceaseless prayer_HG RSP.mp3,2009-09-17,09 Sep 17,Ceaseless prayer
340,2009-09-14_Japa Talk_Holy name gives life_HG RSP.mp3,2009-09-14,09 Sep 14,Holy name gives life
341,2009-09-19_Japa Talk_The highest welfare activity_HG RSP.mp3,2009-09-19,09 Sep 19,The highest welfare activity
342,2009-09-10_Japa Talk_Pure devotee pities on impersonalists_HG RSP.mp3,2009-09-10,09 Sep 10,Pure devotee pities on impersonalists
343,2009-09-09_Japa Talk_Importance of knowing the meaning of 10 offences_HG RSP.mp3,2009-09-09,09 Sep 09,Importance of knowing the meaning of 10 offences
344,2009-08-19_Japa Talk_The fruit of Exclusive surrender_HG RSP.mp3,2009-08-19,09 Aug 19,The fruit of Exclusive surrender
345,2009-08-17_Japa Talk_Effects of sound vibration on different levels_HG RSP.mp3,2009-08-17,09 Aug 17,Effects of sound vibration on different levels
346,2018-01-02_Japa Talk_when will the supreme lord become visible to our eyes_HG RSP_DiskStation_Dec-19-1527-2020_CaseConflict.mp3,2018-01-02,18 Jan 02,when will the supreme lord become visible to our eyes_HG RSP_DiskStation_Dec-19-1527-2020
347,2018-01-03_Japa Talk_Kuntis reasoning on why the lord is invisible to our eyes_HG RSP.mp3,2018-01-03,18 Jan 03,Kuntis reasoning on why the lord is invisible to our eyes
348,2018-02-07_Japa Talk_Make sure you close your contract with maya_HG RSP.mp3,2018-02-07,18 Feb 07,Make sure you close your contract with maya
349,2018-02-08_Japa Talk_Which jivas escape from material world and Which jivas are struck on the material plane_HG RSP.mp3,2018-02-08,18 Feb 08,Which jivas escape from material world and Which jivas are struck on the material plane
350,2018-02-09_Japa Talk_How one can gain permanent stability in  life and progressively march towards spiritual life_HG RSP.mp3,2018-02-09,18 Feb 09,How one can gain permanent stability in  life and progressively march towards spiritual life
351,2018-01-18_Japa Talk_The secret of developing ability to see the lotus feet of lord in our heart at every moment_HG RSP.mp3,2018-01-18,18 Jan 18,The secret of developing ability to see the lotus feet of lord in our heart at every moment
352,2018-01-01_Japa Talk_How can the coming new year be a happy new year_HG RSP.mp3,2018-01-01,18 Jan 01,How can the coming new year be a happy new year
353,2018-02-10_Japa Talk_Fencing the bhakti latha creeper to protect it from dangers like the elephant_HG RSP.mp3,2018-02-10,18 Feb 10,Fencing the bhakti latha creeper to protect it from dangers like the elephant
354,2018-02-11_Japa Talk_The dangers of giving up the society of pure devotees  and accepting non-devotional association_HG RSP.mp3,2018-02-11,18 Feb 11,The dangers of giving up the society of pure devotees  and accepting non-devotional association
355,2018-02-12_Japa Talk_Take note and uproot the multiple weeds and chant the holy name inoffensively to develop love for god_HG RSP.mp3,2018-02-12,18 Feb 12,Take note and uproot the multiple weeds and chant the holy name inoffensively to develop love for god
356,2018-02-13_Japa Talk_The symptoms of one who has tasted the prema phala by obtaining service at the lotus feet of krsna which are kalpataru_HG RSP.mp3,2018-02-13,18 Feb 13,The symptoms of one who has tasted the prema phala by obtaining service at the lotus feet of krsna which are kalpataru
357,2018-02-14_Japa Talk_Practical tips in applying suddha bhakti in everyday life to attain the fruit of krsna prema_HG RSP.mp3,2018-02-14,18 Feb 14,Practical tips in applying suddha bhakti in everyday life to attain the fruit of krsna prema
358,2018-02-20_Japa Talk_Sacred for swift chanting_HG RSP.mp3,2018-02-20,18 Feb 20,Sacred for swift chanting
359,2018-03-21_Japa Talk_Sugandha that binds lord and devotee together_HG RSP.mp3,2018-03-21,18 Mar 21,Sugandha that binds lord and devotee together
360,2018-06-06_Japa Talk_Knowledge and Faith in Sri Krishna gives focus and absorption in the holy name_HG RSP.mp3,2018-06-06,18 Jun 06,Knowledge and Faith in Sri Krishna gives focus and absorption in the holy name
361,2018-06-07_Japa Talk_Gurus two gifts-sarva-vighna-vinÃ¤Ã§anaÃ¹ _HG RSP.mp3,2018-06-07,18 Jun 07,Gurus two gifts-sarva-vighna-vinÃ¤Ã§anaÃ¹ 
362,2018-06-08_Japa Talk_The glory of chanting primary name of lord_HG RSP.mp3,2018-06-08,18 Jun 08,The glory of chanting primary name of lord
363,2018-06-09_Japa Talk_Secondary name bring only piety and moksha while primary name awaken love of god_HG RSP.mp3,2018-06-09,18 Jun 09,Secondary name bring only piety and moksha while primary name awaken love of god
364,2018-06-10_Japa Talk_To gain quick benefit of holy name do not separate the name and the lord_HG RSP.mp3,2018-06-10,18 Jun 10,To gain quick benefit of holy name do not separate the name and the lord
365,2018-06-11_Japa Talk_A spirit of submissive surrender is necessary to chant the primary names of lord feelingly_HG RSP.mp3,2018-06-11,18 Jun 11,A spirit of submissive surrender is necessary to chant the primary names of lord feelingly
366,2018-06-13_Japa Talk_The pure name of Krishna defeats all material limitations_HG RSP.mp3,2018-06-13,18 Jun 13,The pure name of Krishna defeats all material limitations
367,2018-06-14_Japa Talk_Separate him from his svarupa is a great offence and does not let him chant purely_HG RSP.mp3,2018-06-14,18 Jun 14,Separate him from his svarupa is a great offence and does not let him chant purely
368,2018-06-15_Japa Talk_Material outlook toward lord and devotees contaminates the quality of our chanting_HG RSP.mp3,2018-06-15,18 Jun 15,Material outlook toward lord and devotees contaminates the quality of our chanting
369,2018-06-16_Japa Talk_By carefully serving guru one can raise above the two types of distraction_HG RSP.mp3,2018-06-16,18 Jun 16,By carefully serving guru one can raise above the two types of distraction
370,2018-06-17_Japa Talk_What qualification is required and what is not required to chant the holy name_HG RSP.mp3,2018-06-17,18 Jun 17,What qualification is required and what is not required to chant the holy name
371,2018-02-05_Japa Talk_what to do when mind becomes angry with devotees_HG RSP.mp3,2018-02-05,18 Feb 05,what to do when mind becomes angry with devotees
372,2018-02-06_Japa Talk_Distingiushing the creeper devotional  from the imitation creeper_HG RSP.mp3,2018-02-06,18 Feb 06,Distingiushing the creeper devotional  from the imitation creeper
373,2018-02-03_Japa Talk_The 3 components neccesary to recieve reciprocation from the holy name_HG RSP.mp3,2018-02-03,18 Feb 03,The 3 components neccesary to recieve reciprocation from the holy name
374,2018-01-02_Japa Talk_When will the supreme lord become visible to our eyes_HG RSP.mp3,2018-01-02,18 Jan 02,When will the supreme lord become visible to our eyes
375,2020-12-22_Japa Talk_The false identity that misleads us by mind wandering_Radheshyam Das.mp3,2020-12-22,20 Dec 22,The false identity that misleads us by mind wandering
376,2020-12-12_Japa Talk_The false identity that misleads us by mind wandering_Radheshyam Das.mp3,2020-12-12,20 Dec 12,The false identity that misleads us by mind wandering
377,2020-12-25_Japa Talk_The supreme instruction of Radha Parth-Sarathi_Radheshyam Das.mp3,2020-12-25,20 Dec 25,The supreme instruction of Radha Parth-Sarathi
378,"2020-12-26_Japa Talk_Follow Vivisana, not Ravana_Radheshyam Das.mp3",2020-12-26,20 Dec 26,"Follow Vivisana, not Ravana"
379,2020-12-27_Japa Talk_Knowledge of Krishna should produce humility_Radheshyam Das.mp3,2020-12-27,20 Dec 27,Knowledge of Krishna should produce humility
380,2020-12-28_Japa Talk_Balance material-spiritual and chant peacefully_Radheshyam Das.mp3,2020-12-28,20 Dec 28,Balance material-spiritual and chant peacefully
381,2020-12-29_Japa Talk_Blossom your heart by calling out for the Lord_Radheshyam Das.mp3,2020-12-29,20 Dec 29,Blossom your heart by calling out for the Lord
382,2020-12-30_Japa Talk_Why daily chanting becomes a struggle_Radheshyam Das.mp3,2020-12-30,20 Dec 30,Why daily chanting becomes a struggle
383,2020-12-31_Japa Talk_Drive out the two ghosts to awaken love for Krishna_Radheshyam Das.mp3,2020-12-31,20 Dec 31,Drive out the two ghosts to awaken love for Krishna
384,2020-11-30_Kharadi_Japa Talk_Upgrade one-self from Kanitha to Madhyama_HG RSP.mp3,2020-11-30,20 Nov 30,Upgrade one-self from Kanitha to Madhyama
385,2020-11-29_Kharadi_Japa Talk_Practical solution for freedom from boredom and loneliness_HG RSP.mp3,2020-11-29,20 Nov 29,Practical solution for freedom from boredom and loneliness
386,2020-11-28_Kharadi_Japa Talk_How to mitigate loneliness in the heart of thirsty and greedy jiva_HG RSP.mp3,2020-11-28,20 Nov 28,How to mitigate loneliness in the heart of thirsty and greedy jiva
387,2020-11-27_Kharadi_Japa Talk_Solitude verses Loneliness_HG RSP.mp3,2020-11-27,20 Nov 27,Solitude verses Loneliness
388,2020-11-26_Kharadi_Japa Talk_Save yourself before saving the world_HG RSP.mp3,2020-11-26,20 Nov 26,Save yourself before saving the world
389,2020-11-25_Kharadi_Japa Talk_Dont let most important thing be at the mercy of less important things_HG RSP.mp3,2020-11-25,20 Nov 25,Dont let most important thing be at the mercy of less important things
390,2020-11-21_Japa Talk_Respecting Vaishnavas - not a mental adjustment but a genuine feeling _HG RSP.mp3,2020-11-21,20 Nov 21,Respecting Vaishnavas - not a mental adjustment but a genuine feeling 
391,2020-11-19_Japa Talk_1st offence and ways to avoid them_HG RSP.mp3,2020-11-19,20 Nov 19,1st offence and ways to avoid them
392,2020-11-18_Japa Talk_How to relieve ourself from material absorption and focus on spiritual absorption_HG RSP.mp3,2020-11-18,20 Nov 18,How to relieve ourself from material absorption and focus on spiritual absorption
393,2020-11-17_Japa Talk_Stop sins and offences to chant the Holy Name feelingly_HG RSP.mp3,2020-11-17,20 Nov 17,Stop sins and offences to chant the Holy Name feelingly
394,2020-11-16_Japa Talk_Mode required to overcome 1st offence_HG RSP.mp3,2020-11-16,20 Nov 16,Mode required to overcome 1st offence
395,2020-11-15_Japa Talk_ABCDEFGH formula for avoiding of 1st offence_HG RSP.mp3,2020-11-15,20 Nov 15,ABCDEFGH formula for avoiding of 1st offence
396,2020-11-14_Japa Talk_Offer respects according to the position of a devotee_HG RSP.mp3,2020-11-14,20 Nov 14,Offer respects according to the position of a devotee
397,2020-11-13_Japa Talk_False pride is the root of 1st offence_HG RSP.mp3,2020-11-13,20 Nov 13,False pride is the root of 1st offence
398,2020-11-12_Japa Talk_Nindanam dos kirtanam - Findig fault in others leads to dos katha_HG RSP.mp3,2020-11-12,20 Nov 12,Nindanam dos kirtanam - Findig fault in others leads to dos katha
399,2020-11-11_Japa Talk_Can pure devotee commit 1st offense_HG RSP.mp3,2020-11-11,20 Nov 11,Can pure devotee commit 1st offense
400,2020-11-09_Japa Talk_Discriminate to choose good association not be judgmental_HG RSP.mp3,2020-11-09,20 Nov 09,Discriminate to choose good association not be judgmental
401,2020-11-08_Japa Talk_Give-up I know it all syndromes_HG RSP.mp3,2020-11-08,20 Nov 08,Give-up I know it all syndromes
402,2020-11-07_Japa Talk_Mind your mouth_HG RSP.mp3,2020-11-07,20 Nov 07,Mind your mouth
403,2020-11-06_Japa Talk_Keeping aloof from devotees may not free oneself from offence of omission_HG RSP.mp3,2020-11-06,20 Nov 06,Keeping aloof from devotees may not free oneself from offence of omission
404,2020-11-05_Japa Talk_Whats make the apparently insignificant devotee so powerful_HG RSP.mp3,2020-11-05,20 Nov 05,Whats make the apparently insignificant devotee so powerful
405,2020-11-04_Japa Talk_Multiple ways in which one may commits 1st offence_HG RSP.mp3,2020-11-04,20 Nov 04,Multiple ways in which one may commits 1st offence
406,2020-11-03_Japa Talk_Lords devotees are always protected despite receiving attack from great human and demigods_HG RSP.mp3,2020-11-03,20 Nov 03,Lords devotees are always protected despite receiving attack from great human and demigods
407,2020-11-02_Japa Talk_How to rise above dualities_HG RSP.mp3,2020-11-02,20 Nov 02,How to rise above dualities
408,"2020-11-01_Japa Talk_What causes the karmis, jyanis yogis to offend Lords devotee_HG RSP.mp3",2020-11-01,20 Nov 01,"What causes the karmis, jyanis yogis to offend Lords devotee"
409,"2020-10-31_Japa Talk_Material perfection is the cause of false pride in karmis, jyanis and yogis_HG RSP.mp3",2020-10-31,20 Oct 31,"Material perfection is the cause of false pride in karmis, jyanis and yogis"
410,2020-10-30_Japa Talk_Unfavorable attitude to devotional service should make a sadhaka humble_HG RSP.mp3,2020-10-30,20 Oct 30,Unfavorable attitude to devotional service should make a sadhaka humble
411,2020-10-29_Japa Talk_When is our spiritual endeavor compare to pouring ghee in ashes_HG RSP.mp3,2020-10-29,20 Oct 29,When is our spiritual endeavor compare to pouring ghee in ashes
412,2020-10-28_Japa Talk_Why does a prakrta bhakta not respect Vaishnavas_HG RSP.mp3,2020-10-28,20 Oct 28,Why does a prakrta bhakta not respect Vaishnavas
413,"2020-10-27_Japa Talk_Difference between Prakrta sahajiya, prakrta bhakta and progressive bhakta_HG RSP.mp3",2020-10-27,20 Oct 27,"Difference between Prakrta sahajiya, prakrta bhakta and progressive bhakta"
414,2020-10-26_Japa Talk_One pointed vs Multibranch intelligence_HG RSP.mp3,2020-10-26,20 Oct 26,One pointed vs Multibranch intelligence
415,2020-10-25_Japa Talk_Cant we worship the demigods to fulfill our debts because they are devotees only_HG RSP.mp3,2020-10-25,20 Oct 25,Cant we worship the demigods to fulfill our debts because they are devotees only
416,2020-10-24_Japa Talk_Demogods are obedient to Supreme Lord and favorably disposed to devotees_HG RSP.mp3,2020-10-24,20 Oct 24,Demogods are obedient to Supreme Lord and favorably disposed to devotees
417,2020-10-23_Japa Talk_Can someone cross Atlantic by catching a dog tail_HG RSP.mp3,2020-10-23,20 Oct 23,Can someone cross Atlantic by catching a dog tail
418,2020-10-22_Japa Talk_Brahma Samhita gives clear understanding of Lord Govindas position and demigods position_HG RSP.mp3,2020-10-22,20 Oct 22,Brahma Samhita gives clear understanding of Lord Govindas position and demigods position
419,2020-10-21_Japa Talk_A annanya Bhakta never fears the effects of not worshiping  demigod_HG RSP.mp3,2020-10-21,20 Oct 21,A annanya Bhakta never fears the effects of not worshiping  demigod
420,2020-10-20_Japa Talk_One who is an offender of demigod is also offender of Supreme Lord_HG RSP.mp3,2020-10-20,20 Oct 20,One who is an offender of demigod is also offender of Supreme Lord
421,2020-10-19_Japa Talk_Kena Upanishad clarifies Supreme Lord position in relation to demigod_HG RSP.mp3,2020-10-19,20 Oct 19,Kena Upanishad clarifies Supreme Lord position in relation to demigod
422,2020-10-18_Japa Talk_Why do Puranas glorify demigods as supreme_HG RSP.mp3,2020-10-18,20 Oct 18,Why do Puranas glorify demigods as supreme
423,2020-10-17_Japa Talk_How to become free from debts_HG RSP.mp3,2020-10-17,20 Oct 17,How to become free from debts
424,2020-10-16_Japa Talk_Material desires are offend accompanied by demigod worship_HG RSP.mp3,2020-10-16,20 Oct 16,Material desires are offend accompanied by demigod worship
425,"2020-10-15_Japa Talk_Demigods are subjected to illusion, mistake and forgetfulness_HG RSP.mp3",2020-10-15,20 Oct 15,"Demigods are subjected to illusion, mistake and forgetfulness"
426,2020-10-14_Japa Talk_Demigod have limited jurisdiction while supreme Lord have none_HG RSP.mp3,2020-10-14,20 Oct 14,Demigod have limited jurisdiction while supreme Lord have none
427,2020-10-13_Japa Talk_Kirtanam for Lord Visnu not for some man made god_HG RSP.mp3,2020-10-13,20 Oct 13,Kirtanam for Lord Visnu not for some man made god
428,2020-10-12_Japa Talk_Material opulence fascinate condition soul whereas spiritual opulence of the Lord charm the pure dev_HG RSP.mp3,2020-10-12,20 Oct 12,Material opulence fascinate condition soul whereas spiritual opulence of the Lord charm the pure dev
429,2020-10-11_Japa Talk_Spiritual and Material names_HG RSP.mp3,2020-10-11,20 Oct 11,Spiritual and Material names
430,2020-10-10_Japa Talk_Chastity towards Krishna_HG RSP.mp3,2020-10-10,20 Oct 10,Chastity towards Krishna
431,2020-10-09_Japa Talk_Demigod are assisting hands of the Lord in universal creation_HG RSP.mp3,2020-10-09,20 Oct 09,Demigod are assisting hands of the Lord in universal creation
432,2020-10-08_Japa Talk_Demigod are subject to illusion while Supreme Lord is not_HG RSP.mp3,2020-10-08,20 Oct 08,Demigod are subject to illusion while Supreme Lord is not
433,2020-10-07_Japa Talk_Practical ways to practice keval bhakti_HG RSP.mp3,2020-10-07,20 Oct 07,Practical ways to practice keval bhakti
434,2020-10-06_Japa Talk_How to attain one pointed surrender_HG RSP.mp3,2020-10-06,20 Oct 06,How to attain one pointed surrender
435,2020-10-05_Japa Talk_Can anyone cross an Ocean catching a dog tail_HG RSP.mp3,2020-10-05,20 Oct 05,Can anyone cross an Ocean catching a dog tail
436,"2020-10-04_Japa Talk_Why do puranas appear to glorify Devi, Siva, Brahma to be supreme_HG RSP.mp3",2020-10-04,20 Oct 04,"Why do puranas appear to glorify Devi, Siva, Brahma to be supreme"
437,2020-10-03_Japa Talk_Not knowing the position of Supreme Lord in relation to demigods causes 2nd offence_HG RSP.mp3,2020-10-03,20 Oct 03,Not knowing the position of Supreme Lord in relation to demigods causes 2nd offence
438,2020-10-02_Japa Talk_Two extremes of understanding about demigods_HG RSP.mp3,2020-10-02,20 Oct 02,Two extremes of understanding about demigods
439,2020-10-01_Japa Talk_Minimizing GODs name by taking shelter of mini gods_HG RSP.mp3,2020-10-01,20 Oct 01,Minimizing GODs name by taking shelter of mini gods
440,2020-09-30_Japa Talk_Ideal way to live our life_HG RSP.mp3,2020-09-30,20 Sep 30,Ideal way to live our life
441,"2020-09-29_Japa Talk_The I, axe and the boat_HG RSP.mp3",2020-09-29,20 Sep 29,"The I, axe and the boat"
442,2020-09-28_Japa Talk_Learning from the Lord how to avoid 3rd offense_HG RSP.mp3,2020-09-28,20 Sep 28,Learning from the Lord how to avoid 3rd offense
443,2020-09-27_Japa Talk_Should we surrender to word or sward_HG RSP.mp3,2020-09-27,20 Sep 27,Should we surrender to word or sward
444,2020-09-26_Japa Talk_Personal form of the Lord cannot be reviled without taking Gurus shelter_HG RSP.mp3,2020-09-26,20 Sep 26,Personal form of the Lord cannot be reviled without taking Gurus shelter
445,2020-09-25_Japa Talk_Why should a disciple approach Guru cautiously_HG RSP.mp3,2020-09-25,20 Sep 25,Why should a disciple approach Guru cautiously
446,2020-09-24_Japa Talk_How is Guru a telescopic transference via media of Krishan_HG RSP.mp3,2020-09-24,20 Sep 24,How is Guru a telescopic transference via media of Krishan
447,2020-09-23_Japa Talk_When will chanting not work_HG RSP.mp3,2020-09-23,20 Sep 23,When will chanting not work
448,2020-09-22_Japa Talk_Disciple should carry acharya or guru in his heart_HG RSP.mp3,2020-09-22,20 Sep 22,Disciple should carry acharya or guru in his heart
449,2020-09-21_Japa Talk_Right outlook in seeing our Guru_HG RSP.mp3,2020-09-21,20 Sep 21,Right outlook in seeing our Guru
450,2020-09-20_Japa Talk_What one should do when one has a cloud of doubt between him and Guru_HG RSP.mp3,2020-09-20,20 Sep 20,What one should do when one has a cloud of doubt between him and Guru
451,2020-09-16_Japa Talk_How to avoid offenses of omission and commission to Guru_HG RSP.mp3,2020-09-16,20 Sep 16,How to avoid offenses of omission and commission to Guru
452,2020-09-15_Japa Talk_What one should do and not do with once Guru_HG RSP.mp3,2020-09-15,20 Sep 15,What one should do and not do with once Guru
453,2020-09-14_Japa Talk_What qualities makes us developed reverence and respect for Guru_HG RSP.mp3,2020-09-14,20 Sep 14,What qualities makes us developed reverence and respect for Guru
454,2020-09-13_Japa Talk_Three important considerations in developing respect for Guru_HG RSP.mp3,2020-09-13,20 Sep 13,Three important considerations in developing respect for Guru
455,2020-09-12_Japa Talk_Possessing spiritual outlook towards Lords paraphrenia_HG RSP.mp3,2020-09-12,20 Sep 12,Possessing spiritual outlook towards Lords paraphrenia
456,"2020-09-11_Japa Talk_Avoid offending guru, Also activily try to please him_HG RSP.mp3",2020-09-11,20 Sep 11,"Avoid offending guru, Also activily try to please him"
457,2020-09-10_Japa Talk_What should one do if one has offended once spiritual master_HG RSP.mp3,2020-09-10,20 Sep 10,What should one do if one has offended once spiritual master
458,2020-09-09_Japa Talk_How can a disciple express his respect for Guru_HG RSP.mp3,2020-09-09,20 Sep 09,How can a disciple express his respect for Guru
459,2020-09-08_Japa Talk_How to avoid Guru avaghya_HG RSP.mp3,2020-09-08,20 Sep 08,How to avoid Guru avaghya
460,2020-09-07_Japa Talk_Guru is Kripashaktimurti_HG RSP.mp3,2020-09-07,20 Sep 07,Guru is Kripashaktimurti
461,2020-09-06_Japa Talk_Why do the scriptures greatly emphasize the need for the Guru_HG RSP.mp3,2020-09-06,20 Sep 06,Why do the scriptures greatly emphasize the need for the Guru
462,2020-09-05_Japa Talk_Reco by our Guru can bestow ragha for Krishna_HG RSP.mp3,2020-09-05,20 Sep 05,Reco by our Guru can bestow ragha for Krishna
463,2020-09-04_Japa Talk_When can a teacher or student reject each other_HG RSP.mp3,2020-09-04,20 Sep 04,When can a teacher or student reject each other
464,2020-09-03_Japa Talk_How can we respect the Spiritual authority if he is non-bonafide and unexemplary_HG RSP.mp3,2020-09-03,20 Sep 03,How can we respect the Spiritual authority if he is non-bonafide and unexemplary
465,2020-09-02_Japa Talk_What is a need for Guru_HG RSP.mp3,2020-09-02,20 Sep 02,What is a need for Guru
466,2020-09-01_Japa Talk_How to differentiate between general and specific instruction of Guru_HG RSP.mp3,2020-09-01,20 Sep 01,How to differentiate between general and specific instruction of Guru
467,2020-08-31_Japa Talk_Obedience to Guru means following his instructions in letter and spirit_HG RSP.mp3,2020-08-31,20 Aug 31,Obedience to Guru means following his instructions in letter and spirit
468,"2020-08-30_Japa Talk_Gratitude, respect and obedient for Guru is necessary to chant the Holy Name inoffensively_HG RSP.mp3",2020-08-30,20 Aug 30,"Gratitude, respect and obedient for Guru is necessary to chant the Holy Name inoffensively"
469,"2020-08-29_Japa Talk_Why should we respect the awarder of the Holy Name, the Guru_HG RSP.mp3",2020-08-29,20 Aug 29,"Why should we respect the awarder of the Holy Name, the Guru"
470,2020-08-28_Japa Talk_Importance of having regard for the bestower of the Holy Name_HG RSP.mp3,2020-08-28,20 Aug 28,Importance of having regard for the bestower of the Holy Name
471,2020-08-27_Japa Talk_How to know nature of Supreme creator and purpose of His creations_HG RSP.mp3,2020-08-27,20 Aug 27,How to know nature of Supreme creator and purpose of His creations
472,2020-08-26_Japa Talk_Two things that can easily bring Radharanis grace in our life_HG RSP.mp3,2020-08-26,20 Aug 26,Two things that can easily bring Radharanis grace in our life
473,2020-08-25_Japa Talk_Offense of commission and omission_HG RSP.mp3,2020-08-25,20 Aug 25,Offense of commission and omission
474,2020-08-24_Japa Talk_Firm faith in scripture will bestow firm faith in different aspect of the path of Bhakti_HG RSP.mp3,2020-08-24,20 Aug 24,Firm faith in scripture will bestow firm faith in different aspect of the path of Bhakti
475,2020-08-23_Japa Talk_What to do if someone has faith in Vedic literature but not having faith in those literature which are pursuance of the Vedic literature_HG RSP.mp3,2020-08-23,20 Aug 23,What to do if someone has faith in Vedic literature but not having faith in those literature which are pursuance of the Vedic literature
476,2020-08-22_Japa Talk_How to rectify the fourth offense which is blasphemous against Vedic literature_HG RSP.mp3,2020-08-22,20 Aug 22,How to rectify the fourth offense which is blasphemous against Vedic literature
477,2020-08-21_Japa Talk_Jyani type and Bhakta type study of scripture_HG RSP.mp3,2020-08-21,20 Aug 21,Jyani type and Bhakta type study of scripture
478,2020-08-20_Japa Talk_Whose commentary of scripture should we take seriously_HG RSP.mp3,2020-08-20,20 Aug 20,Whose commentary of scripture should we take seriously
479,2020-08-19_Japa Talk_Is discrimination allowed in accepting a religious system_HG RSP.mp3,2020-08-19,20 Aug 19,Is discrimination allowed in accepting a religious system
480,2020-08-18_Japa Talk_Are the history spoken in the Vedic literature real or mythological_HG RSP.mp3,2020-08-18,20 Aug 18,Are the history spoken in the Vedic literature real or mythological
481,2020-08-17_Japa Talk_What is the benefits of putting faith in vedic literature_HG RSP.mp3,2020-08-17,20 Aug 17,What is the benefits of putting faith in vedic literature
482,2020-08-16_Japa Talk_Different sloks for different folks_HG RSP.mp3,2020-08-16,20 Aug 16,Different sloks for different folks
483,2020-08-15_Japa Talk_Why is lack of faith in scripture equated with lack of faith in Holy Name_HG RSP.mp3,2020-08-15,20 Aug 15,Why is lack of faith in scripture equated with lack of faith in Holy Name
484,2020-08-12_Japa Talk_3 essential massages from Krishna on Janmashtami day_HG RSP.mp3,2020-08-12,20 Aug 12,3 essential massages from Krishna on Janmashtami day
485,2020-08-11_Japa Talk_How to modify our approach to scriptures to earn faith_HG RSP.mp3,2020-08-11,20 Aug 11,How to modify our approach to scriptures to earn faith
486,2020-08-10_Japa Talk_What to do when scripture and science contradict_HG RSP.mp3,2020-08-10,20 Aug 10,What to do when scripture and science contradict
487,2020-08-09_Japa Talk_Partial faith in scripture leads to weak faith in spiritual life_HG  RSP.mp3,2020-08-09,20 Aug 09,Partial faith in scripture leads to weak faith in spiritual life
488,2020-08-08_Japa Talk_The spiritual knowledge overtime can get destroyed_HG  RSP.mp3,2020-08-08,20 Aug 08,The spiritual knowledge overtime can get destroyed
489,"2020-08-07_SSRKB_Japa Talk_Goal of Vedas in 10 statements, Dashmula Siksa_HG RSP.mp3",2020-08-07,20 Aug 07,"Goal of Vedas in 10 statements, Dashmula Siksa"
490,2020-08-06_SSRKB_Japa Talk_Firm faith in scripture leads to firm faith in all spiritual items_HG RSP.mp3,2020-08-06,20 Aug 06,Firm faith in scripture leads to firm faith in all spiritual items
491,2020-08-05_SSRKB_Japa Talk_How can I get the eyes to see the Adhokshaj Supreme Lord_HG RSP.mp3,2020-08-05,20 Aug 05,How can I get the eyes to see the Adhokshaj Supreme Lord
492,2020-08-04_SSRKB_Japa Talk_Reasons for once lack of faith in scriptures and solutions to overcome_HG RSP.mp3,2020-08-04,20 Aug 04,Reasons for once lack of faith in scriptures and solutions to overcome
493,2020-08-03_SSRKB_Japa Talk_Influence of Balaramji in our life_HG RSP.mp3,2020-08-03,20 Aug 03,Influence of Balaramji in our life
494,2020-08-02_SSRKB_Japa Talk_How to rise above doubts in scripture_HG RSP.mp3,2020-08-02,20 Aug 02,How to rise above doubts in scripture
495,2020-08-01_SSRKB_Japa Talk_How can we be sure that Vedic knowledge is not spoiled by interpolation_HG RSP.mp3,2020-08-01,20 Aug 01,How can we be sure that Vedic knowledge is not spoiled by interpolation
496,2020-07-31_SSRKB_Japa Talk_Why do even intelligent people doubt the literatures in pursuance of Vedic version_HG RSP.mp3,2020-07-31,20 Jul 31,Why do even intelligent people doubt the literatures in pursuance of Vedic version
497,2020-07-30_SSRKB_Japa Talk_Acharyas writing in pursuance of Vedic literature_HG RSP.mp3,2020-07-30,20 Jul 30,Acharyas writing in pursuance of Vedic literature
498,2020-07-29_SSRKB_Japa Talk_Faith is not blind but a pre-condition to knowledge_HG RSP.mp3,2020-07-29,20 Jul 29,Faith is not blind but a pre-condition to knowledge
499,"2020-07-28_SSRKB_Japa Talk_Acharyas are liberated soul, Scientist are condition soul_HG RSP.mp3",2020-07-28,20 Jul 28,"Acharyas are liberated soul, Scientist are condition soul"
